Distance_(microns),Gray_Value
362.479,57.5306
362.840,56.0907
363.200,56.0811
363.560,55.8885
363.921,54.0007
364.281,53.4701
364.641,55.1426
365.002,56.8588
365.362,57.0003
365.722,56.5736
366.083,56.7102
366.443,58.3655
366.803,58.1570
367.163,56.6224
367.524,56.4064
367.884,56.6660
368.244,58.2139
368.605,60.4056
368.965,61.8264
369.325,60.0937
369.686,57.2919
370.046,56.0379
370.406,54.1700
370.767,52.8556
371.127,51.5701
371.487,49.8231
371.848,47.7031
372.208,48.7846
372.568,49.1567
372.929,49.4656
373.289,50.0182
373.649,50.8504
374.010,51.3882
374.370,51.7296
374.730,52.0903
375.090,51.9526
375.451,50.6729
375.811,49.2655
376.171,48.6175
376.532,47.7803
376.892,47.4844
377.252,49.3644
377.613,49.4073
377.973,50.5383
378.333,52.2930
378.694,52.8566
379.054,52.9281
379.414,53.0460
379.775,50.9277
380.135,50.2686
380.495,50.6634
380.856,50.8756
381.216,52.6902
381.576,53.8628
381.936,54.1717
382.297,54.1835
382.657,53.5191
383.017,51.0360
383.378,51.9003
383.738,52.9878
384.098,54.8150
384.459,54.0844
384.819,54.9199
385.179,54.2121
385.540,52.9755
385.900,53.1137
386.260,53.1110
386.621,55.0132
386.981,57.4320
387.341,61.4723
387.702,66.5981
388.062,70.2803
388.422,72.8811
388.783,73.1985
389.143,71.0962
389.503,69.3563
389.863,69.9680
390.224,68.6408
390.584,66.6705
390.944,65.5932
391.305,63.9566
391.665,65.3094
392.025,63.8027
392.386,61.5775
392.746,59.5563
393.106,58.5736
393.467,56.7132
393.827,55.7376
394.187,57.0299
394.548,58.0045
394.908,58.2786
395.268,58.8510
395.629,57.6667
395.989,60.5839
396.349,64.0077
396.710,63.9488
397.070,65.2463
397.430,64.6039
397.790,63.9831
398.151,62.0597
398.511,59.5366
398.871,57.7505
399.232,56.3769
399.592,56.5014
399.952,54.5620
400.313,54.9025
400.673,53.3852
401.033,51.2175
401.394,49.4858
401.754,50.3533
402.114,50.1194
402.475,50.0585
402.835,50.2859
403.195,50.5180
403.556,51.6023
403.916,52.6322
404.276,53.2184
404.637,53.8933
404.997,55.1111
405.357,56.1515
405.717,59.5849
406.078,59.5977
406.438,57.0990
406.798,53.9357
407.159,51.8735
