Distance_(microns),Gray_Value
301.225,50.3691
301.586,50.6924
301.946,51.2329
302.306,50.6639
302.667,51.6002
303.027,52.1408
303.387,52.6555
303.748,52.7318
304.108,52.2902
304.468,50.8804
304.829,51.6333
305.189,51.2565
305.549,50.8532
305.910,50.7220
306.270,50.3979
306.630,50.4160
306.990,49.2791
307.351,48.9703
307.711,48.7393
308.071,48.4278
308.432,47.7510
308.792,46.7109
309.152,45.6983
309.513,45.9200
309.873,45.0322
310.233,45.2898
310.594,43.7013
310.954,44.7488
311.314,45.1895
311.675,46.3060
312.035,46.3659
312.395,47.3677
312.756,47.1543
313.116,46.5313
313.476,47.2171
313.837,48.1420
314.197,48.4583
314.557,48.9303
314.917,48.8265
315.278,48.8026
315.638,47.9281
315.998,48.3438
316.359,48.1092
316.719,48.4378
317.079,47.5421
317.440,47.6875
317.800,47.4469
318.160,47.9694
318.521,46.4208
318.881,46.9401
319.241,47.0959
319.602,46.9909
319.962,46.7374
320.322,47.0904
320.683,47.3167
321.043,46.7127
321.403,47.0930
321.763,46.4897
322.124,46.0363
322.484,46.1108
322.844,46.6566
323.205,45.5818
323.565,44.9389
323.925,44.9268
324.286,45.1770
324.646,44.3630
325.006,43.7271
325.367,43.5323
325.727,43.7903
326.087,43.7581
326.448,45.1605
326.808,45.4957
327.168,46.0330
327.529,46.5946
327.889,45.9277
328.249,45.7090
328.610,45.1351
328.970,46.7450
329.330,46.0367
329.690,46.5869
330.051,46.7572
330.411,47.8986
330.771,48.7200
331.132,49.4565
331.492,49.3551
331.852,50.7083
332.213,52.5820
332.573,52.7123
332.933,53.5695
333.294,54.2399
333.654,54.7512
334.014,54.7785
334.375,55.0851
334.735,57.0128
335.095,57.1888
335.456,57.2274
335.816,56.7933
336.176,57.6803
336.536,57.4229
336.897,57.4283
337.257,56.0046
337.617,56.0517
337.978,52.8752
338.338,51.6076
338.698,50.9812
339.059,50.6110
339.419,49.4767
339.779,49.9896
340.140,48.8444
340.500,49.8053
340.860,49.0183
341.221,50.3846
341.581,50.3031
341.941,50.3603
342.302,49.4885
342.662,50.7894
343.022,51.6588
343.383,51.5448
343.743,51.1824
344.103,50.9053
344.464,52.0837
344.824,49.7116
345.184,48.6588
345.544,49.5039
345.905,50.7800
346.265,48.2912
346.625,48.5517
346.986,47.3883
347.346,46.9205
347.706,46.8716
348.067,46.6904
348.427,45.2360
348.787,45.3239
349.148,45.4799
349.508,45.1884
349.868,44.3303
350.229,43.9464
350.589,43.3561
350.949,43.3062
351.310,42.5422
351.670,43.6339
352.030,42.7996
352.390,41.2993
352.751,40.3915
353.111,39.8349
353.471,39.4856
353.832,38.1843
354.192,37.6000
354.552,36.9085
354.913,37.6828
355.273,38.4697
355.633,38.1487
355.994,38.1495
356.354,38.8689
356.714,39.6077
357.075,40.2545
357.435,39.1033
357.795,41.7157
358.156,42.8717
358.516,44.0688
358.876,43.8130
359.237,44.2070
359.597,44.8356
359.957,45.3527
360.317,45.0351
360.678,44.7935
361.038,45.1934
361.398,46.4471
361.759,45.5545
362.119,46.8039
362.479,45.8148
362.840,45.8246
363.200,46.1979
363.560,47.6156
363.921,46.3035
364.281,45.3559
364.641,45.2113
365.002,45.7733
365.362,45.9502
365.722,47.5141
366.083,47.4598
366.443,47.7577
366.803,46.7666
367.163,46.8873
367.524,45.6536
367.884,47.4492
368.244,47.6409
368.605,47.1892
368.965,48.4565
369.325,48.6203
369.686,49.1014
370.046,49.1110
370.406,49.2628
370.767,49.3291
371.127,49.5399
371.487,48.7806
371.848,48.3952
372.208,47.8121
372.568,46.5719
372.929,47.0542
373.289,47.8345
373.649,47.1961
374.010,47.0924
374.370,48.0497
374.730,48.1062
375.090,47.5114
375.451,47.9403
375.811,48.2093
376.171,47.9338
376.532,47.6189
376.892,46.6326
377.252,46.7042
377.613,46.7037
377.973,47.3587
378.333,48.8979
378.694,48.3816
379.054,47.8906
379.414,48.9793
379.775,50.3769
380.135,50.1547
380.495,49.8306
380.856,50.3676
381.216,49.4367
381.576,49.4800
381.936,49.9742
382.297,49.0574
382.657,48.6063
383.017,49.0561
383.378,48.4307
383.738,48.6585
384.098,49.1737
384.459,50.0444
384.819,49.0707
385.179,48.9730
385.540,48.1490
385.900,48.3330
386.260,49.7885
386.621,49.3349
386.981,49.0000
387.341,49.7119
387.702,50.7305
388.062,50.5375
388.422,51.5751
388.783,52.0796
389.143,53.1663
389.503,52.6567
389.863,55.3196
390.224,53.6670
390.584,54.7965
390.944,54.8096
391.305,53.9897
391.665,53.8015
