Distance_(microns),Gray_Value
208.984,42.0904
209.344,41.9550
209.705,44.2810
210.065,40.8027
210.425,41.7740
210.786,42.2362
211.146,41.2233
211.506,40.9890
211.867,40.0690
212.227,41.9602
212.587,42.0864
212.948,40.9036
213.308,41.1065
213.668,41.6482
214.029,41.2009
214.389,41.0419
214.749,42.3607
215.110,43.0207
215.470,42.6939
215.830,41.8259
216.190,41.9308
216.551,43.4959
216.911,41.9674
217.271,41.2965
217.632,41.1917
217.992,41.0755
218.352,40.0965
218.713,40.6957
219.073,41.3506
219.433,41.3545
219.794,40.4192
220.154,39.3573
220.514,40.2443
220.875,41.3872
221.235,41.1710
221.595,42.5538
221.956,41.2029
222.316,40.9069
222.676,40.6720
223.037,42.0172
223.397,44.3198
223.757,43.6407
224.117,42.8624
224.478,43.8477
224.838,44.4814
225.198,43.8729
225.559,45.3712
225.919,43.2215
226.279,44.1922
226.640,42.8709
227.000,43.8832
227.360,45.3559
227.721,43.5541
228.081,42.0900
228.441,43.5943
228.802,42.0834
229.162,43.3234
229.522,42.0721
229.883,39.8244
230.243,39.6440
230.603,40.7866
230.963,39.2800
231.324,37.9851
231.684,39.0086
232.044,38.0644
232.405,39.6923
232.765,39.1032
233.125,40.5200
233.486,39.9887
233.846,40.6263
234.206,39.9691
234.567,42.1952
234.927,41.2445
235.287,41.4632
235.648,41.8719
236.008,45.0219
236.368,45.6275
236.729,44.2949
237.089,45.8299
237.449,43.8378
237.810,40.7591
238.170,42.0327
238.530,41.5572
238.890,42.4996
239.251,42.9914
239.611,39.5970
239.971,41.4101
240.332,42.3761
240.692,43.0087
241.052,42.4665
241.413,43.0813
241.773,41.3080
242.133,40.1724
242.494,42.2042
242.854,38.8077
243.214,39.1140
243.575,38.7815
243.935,39.1852
244.295,36.5875
244.656,38.3822
245.016,38.2693
245.376,37.0925
245.737,37.9218
246.097,38.7597
246.457,38.4254
246.817,38.9622
247.178,38.2710
247.538,37.4535
247.898,37.1549
248.259,36.0368
248.619,37.0061
248.979,38.1415
249.340,37.9439
249.700,35.4130
250.060,36.2788
250.421,37.3108
250.781,38.2787
251.141,38.7654
251.502,38.4284
251.862,37.4201
252.222,36.7770
252.583,37.6899
252.943,37.6246
253.303,36.6325
253.663,37.6252
254.024,38.3725
254.384,38.0938
254.744,38.2148
255.105,36.5833
255.465,37.2585
255.825,39.3863
256.186,41.1870
256.546,40.6938
256.906,39.6274
257.267,38.1919
257.627,38.0603
257.987,39.7063
258.348,38.7995
258.708,37.9125
259.068,38.4959
259.429,38.4573
259.789,37.3942
260.149,38.7523
260.510,38.1941
260.870,38.3566
261.230,37.9372
261.590,37.2005
261.951,35.5254
262.311,37.5755
262.671,38.7638
263.032,35.6983
263.392,35.7086
263.752,35.2438
264.113,36.5491
264.473,36.3985
264.833,38.0897
265.194,37.7024
265.554,37.7717
265.914,38.0511
266.275,36.6351
266.635,36.8423
266.995,36.0956
267.356,34.4477
267.716,37.4891
268.076,39.4319
268.436,36.3838
268.797,36.4239
269.157,35.9598
269.517,35.8617
269.878,35.9418
270.238,34.0995
270.598,36.8202
270.959,36.3517
271.319,35.4051
271.679,35.8055
272.040,33.8106
272.400,34.6189
272.760,35.3804
273.121,37.0464
273.481,37.8557
273.841,34.8931
274.202,35.1663
274.562,35.5254
274.922,34.8548
275.283,35.1028
275.643,34.7920
276.003,35.3851
276.363,33.5997
276.724,32.5112
277.084,34.1246
277.444,34.8344
277.805,32.9966
278.165,33.8025
278.525,33.9677
278.886,33.6377
279.246,33.4608
279.606,33.4865
279.967,32.8280
280.327,33.5028
280.687,34.1403
281.048,34.2820
281.408,33.7483
281.768,34.2018
282.129,33.7317
282.489,35.6574
282.849,37.3123
283.210,36.5874
283.570,36.0615
283.930,35.5483
284.290,33.1887
284.651,33.8496
285.011,35.4411
285.371,37.6182
285.732,36.5802
286.092,36.2193
286.452,36.6389
286.813,36.0781
287.173,36.5552
287.533,35.1367
287.894,36.4802
288.254,35.9814
288.614,34.7321
288.975,35.6701
289.335,36.2813
289.695,35.0975
290.056,34.8052
290.416,34.3939
290.776,32.6628
291.137,31.4533
291.497,31.1609
291.857,32.5406
292.217,32.3469
292.578,32.3800
292.938,32.6776
293.298,33.3846
293.659,34.9624
294.019,33.7764
294.379,34.7977
294.740,34.6074
295.100,35.6929
295.460,35.0823
295.821,35.8993
296.181,34.3009
296.541,33.9933
296.902,33.5695
297.262,32.7376
297.622,31.7009
297.983,32.4794
298.343,33.5098
298.703,33.1216
299.064,32.3666
299.424,32.1239
299.784,32.3829
300.144,32.3901
300.505,32.5814
300.865,34.1626
301.225,34.1424
301.586,33.7842
301.946,32.9621
302.306,33.4820
302.667,34.6237
303.027,35.1034
303.387,34.2825
303.748,34.1642
304.108,33.1600
304.468,33.6532
304.829,35.5573
305.189,36.5878
305.549,35.3324
305.910,35.2512
306.270,34.5779
306.630,34.7255
306.990,38.0690
307.351,35.8816
307.711,35.4381
308.071,35.7278
308.432,37.2253
308.792,35.6490
309.152,35.6868
309.513,34.2210
309.873,36.4832
310.233,35.7003
310.594,33.5550
310.954,34.4900
311.314,35.7475
311.675,34.9211
312.035,35.1824
312.395,34.1743
312.756,34.6223
313.116,34.5991
313.476,32.0551
313.837,34.2899
314.197,34.4481
314.557,33.6168
314.917,35.5799
315.278,33.3299
315.638,34.8754
315.998,33.9680
316.359,32.5888
316.719,33.7092
317.079,36.5604
317.440,34.1301
317.800,32.9127
318.160,34.3846
318.521,35.8771
318.881,35.9622
319.241,36.9637
319.602,36.0282
319.962,35.0510
320.322,35.9429
320.683,38.2699
321.043,39.3438
321.403,38.6999
321.763,38.1300
322.124,39.1690
322.484,40.0086
322.844,39.4655
323.205,39.6883
323.565,39.8325
323.925,38.6967
324.286,36.9062
324.646,36.5039
325.006,37.2742
325.367,37.7736
325.727,33.7482
326.087,35.4125
326.448,34.9775
326.808,35.2167
327.168,35.0980
327.529,36.2044
327.889,35.0566
328.249,34.9318
328.610,35.6824
328.970,35.8964
329.330,36.2661
329.690,36.3612
330.051,36.0062
330.411,36.8035
330.771,38.1410
331.132,37.3690
331.492,37.0281
331.852,37.0277
332.213,35.3770
332.573,36.6394
332.933,36.4841
333.294,36.3251
333.654,34.8042
334.014,34.8768
334.375,35.9619
334.735,34.6143
335.095,33.4632
335.456,34.2192
335.816,35.1670
336.176,34.1098
336.536,33.8504
336.897,34.1818
337.257,34.1334
337.617,33.3716
337.978,35.0801
338.338,35.5391
338.698,35.1374
339.059,34.9348
339.419,34.9275
339.779,32.7866
340.140,32.8360
340.500,34.4874
340.860,34.5888
341.221,34.2692
341.581,33.9630
341.941,33.3565
342.302,33.9714
342.662,33.5362
343.022,34.1952
343.383,33.7907
343.743,35.5595
344.103,35.2347
344.464,36.0415
344.824,37.6206
345.184,37.6271
345.544,39.1964
345.905,39.5856
346.265,40.0521
346.625,39.8319
346.986,38.6243
347.346,39.3857
347.706,39.0592
348.067,39.3018
348.427,37.1751
348.787,37.4305
349.148,38.1788
349.508,39.6513
349.868,37.6524
350.229,38.4998
350.589,37.2574
350.949,37.6837
351.310,38.9552
351.670,36.5965
352.030,38.4423
352.390,38.6785
352.751,40.6849
353.111,39.3630
353.471,40.5580
353.832,40.0835
354.192,38.7946
354.552,39.5110
354.913,40.5609
355.273,39.1772
355.633,39.3109
355.994,38.8295
356.354,37.2401
356.714,38.0031
357.075,37.9154
357.435,35.5987
357.795,38.0923
358.156,38.9365
358.516,37.0898
358.876,36.5144
359.237,37.4277
359.597,38.0282
359.957,37.8182
360.317,37.5740
360.678,38.1610
361.038,37.9356
361.398,38.0851
361.759,39.7532
362.119,37.4123
362.479,40.7593
362.840,38.8809
363.200,39.0696
363.560,38.9844
363.921,38.5899
364.281,37.7400
364.641,38.7641
365.002,38.9358
365.362,38.3160
365.722,37.0561
366.083,37.6580
366.443,37.5140
366.803,36.9355
367.163,34.7890
367.524,36.9065
367.884,38.4052
368.244,36.5644
368.605,35.5787
368.965,35.7140
369.325,35.5871
369.686,36.5756
370.046,38.9302
370.406,38.9399
370.767,37.8670
371.127,38.8598
371.487,39.2816
371.848,37.4500
372.208,37.8187
372.568,39.2014
372.929,40.5959
373.289,40.1489
373.649,42.1429
374.010,41.3737
374.370,42.2210
374.730,42.4001
375.090,42.5449
375.451,42.5227
375.811,41.3123
376.171,41.6736
376.532,43.3056
376.892,44.2348
377.252,43.7518
377.613,43.6157
377.973,41.0780
378.333,42.2658
378.694,42.1508
379.054,40.3674
379.414,41.0383
379.775,40.3165
380.135,42.1908
380.495,41.6008
380.856,39.2947
381.216,39.8979
381.576,40.6992
381.936,40.4956
382.297,40.1923
382.657,42.9963
383.017,42.1342
383.378,42.0611
383.738,39.8318
384.098,38.7864
384.459,41.1725
384.819,39.6319
385.179,40.4979
385.540,38.5549
385.900,38.6705
386.260,39.8493
386.621,37.9512
386.981,36.7632
387.341,37.1888
387.702,35.7163
388.062,35.6992
388.422,35.1647
388.783,35.8025
389.143,37.0219
389.503,36.3807
389.863,38.6732
390.224,37.7950
390.584,40.2008
390.944,41.1571
391.305,43.2547
391.665,41.8395
392.025,41.2031
392.386,41.0621
392.746,40.2287
393.106,39.9546
393.467,39.7690
393.827,39.4888
394.187,38.5693
394.548,37.3451
394.908,36.7296
395.268,38.6844
395.629,35.7366
395.989,36.7031
396.349,36.6160
396.710,35.8476
397.070,36.1683
397.430,38.1024
397.790,37.7052
398.151,36.5681
398.511,37.5460
398.871,38.8897
399.232,40.2936
399.592,39.5636
399.952,39.0265
400.313,39.9090
400.673,41.5871
401.033,41.7924
401.394,41.9860
401.754,44.6148
402.114,42.8405
402.475,43.2716
402.835,41.3603
403.195,41.7156
403.556,40.5807
403.916,40.1662
404.276,40.8886
404.637,40.0002
404.997,38.5165
405.357,38.6096
405.717,36.5182
406.078,38.5581
406.438,38.6197
406.798,38.0160
407.159,36.3286
